loan_id,as_of_date,default_flag,annual_income,debt_to_income,loan_amount,interest_rate,term_months,employment_length,credit_history_length,region,fairness_group
ln_e5d172c70983,2024-09-30,0,70770.99,32.64,32448.31,20.132,36,1-3y,13.74,west,A
ln_6a889292c5cd,2024-09-30,0,36292.31,20.53,24744.92,12.462,36,<1y,12.98,south,A
ln_28635a4af28a,2024-09-30,1,55576.82,20.59,12870.76,13.195,36,1-3y,14.69,north,B
ln_28812b0fe550,2024-09-30,0,36837.53,19.0,32106.22,13.303,36,5-10y,12.8,east,A
ln_0650e391bb94,2024-09-30,0,35212.75,22.71,22879.0,14.656,36,5-10y,11.6,west,A
ln_1c21cc64af57,2024-09-30,1,50153.5,39.29,7157.51,21.192,36,1-3y,5.46,north,A
ln_86e29bd66463,2024-09-30,0,71412.78,19.75,37112.91,15.092,36,10y+,13.96,north,A
ln_5e0319b73a6e,2024-09-30,0,34177.9,29.64,36225.28,17.937,36,1-3y,10.42,south,B
ln_7ada022da75f,2024-09-30,0,49141.99,33.85,39080.6,16.226,36,<1y,11.82,north,A
ln_3ab132f87001,2024-09-30,1,48856.25,35.34,10025.54,22.419,36,3-5y,12.41,north,B
ln_6f8053b3702d,2024-09-30,0,57183.05,32.34,10433.28,23.363,36,3-5y,7.73,south,A
ln_a998652618c2,2024-09-30,1,28391.9,38.21,20254.82,24.689,36,3-5y,8.02,north,B
ln_0b2c7e0aacfb,2024-09-30,0,68145.55,30.71,10047.02,17.805,60,10y+,13.13,north,B
ln_12748b52cc07,2024-09-30,1,27746.36,39.7,6188.59,21.748,60,3-5y,10.94,east,B
ln_ca804ad81d1c,2024-09-30,1,22998.11,46.46,2387.03,24.562,36,1-3y,16.55,north,B
ln_aeac0f09a347,2024-09-30,0,31244.59,30.08,30566.12,20.286,36,<1y,9.32,south,B
ln_611eaf6ba82e,2024-09-30,0,40399.4,34.24,11627.44,14.529,36,1-3y,18.22,north,A
ln_ab27964c5e35,2024-09-30,1,41936.36,40.26,8521.51,21.456,36,<1y,11.29,south,B
ln_957381ccc026,2024-09-30,0,54257.9,28.19,16465.73,18.879,36,1-3y,18.3,south,A
ln_c397d6f40351,2024-09-30,0,57508.2,27.13,28249.94,16.276,60,<1y,10.42,north,B
ln_0a5541caf65b,2024-09-30,1,52443.92,32.47,20205.53,18.08,36,<1y,7.1,north,B
ln_bc36a5f7fd22,2024-09-30,1,39936.94,23.6,6269.03,16.833,36,1-3y,9.63,south,B
ln_f7d933599581,2024-09-30,0,85390.52,29.64,52795.27,17.489,60,1-3y,9.92,east,B
ln_2dc0c0547d8d,2024-09-30,0,38163.87,24.23,17604.77,16.819,36,10y+,12.35,south,A
ln_2d0b2ba0e0f4,2024-09-30,1,36761.11,24.75,8267.17,15.714,36,10y+,12.84,west,B
ln_fd0eebe7c6e9,2024-09-30,1,42986.91,28.69,14657.61,19.739,60,<1y,7.68,north,A
ln_4631f7b26c33,2024-09-30,1,88262.72,24.69,3744.88,17.569,60,<1y,9.32,north,A
ln_e8e13674d351,2024-09-30,0,53139.94,39.86,5520.09,21.075,60,3-5y,11.44,east,A
ln_ad5fd6c873c4,2024-09-30,1,71657.43,32.08,9323.02,20.909,36,<1y,8.7,south,B
ln_7a6a8ca597d5,2024-09-30,1,75446.06,27.81,32993.06,18.544,36,1-3y,12.44,east,A
ln_8db434444162,2024-09-30,1,63425.87,36.32,19073.24,18.749,36,<1y,5.77,west,B
ln_0cc6da314e0b,2024-09-30,1,33803.3,49.66,23952.47,25.814,36,3-5y,20.72,north,B
ln_9631a550f02d,2024-09-30,0,103571.85,32.63,9894.64,18.363,60,1-3y,11.57,south,A
ln_d96d218a2d59,2024-09-30,0,49950.56,14.75,20744.85,15.58,36,1-3y,9.88,north,A
ln_d25db83d665a,2024-09-30,1,70223.41,34.76,8992.82,21.342,36,1-3y,8.04,west,A
