loan_id,as_of_date,default_flag,annual_income,debt_to_income,loan_amount,interest_rate,term_months,employment_length,credit_history_length,region,fairness_group
ln_1bbcad29320f,2023-06-30,0,51432.58,12.82,9076.47,7.241,60,1-3y,11.78,east,A
ln_042896dc1966,2023-03-31,0,70128.69,13.67,50596.88,12.039,36,10y+,9.82,north,A
ln_dba0082ec68e,2023-03-31,0,49909.61,18.24,16842.82,7.062,36,5-10y,12.23,west,A
ln_dfd5922f5aa9,2022-03-31,0,46738.13,23.7,15848.63,14.861,36,3-5y,12.24,west,A
ln_8c09b37123eb,2023-11-30,0,54283.1,21.73,10758.84,12.481,36,5-10y,19.3,south,B
ln_c1db13ab836d,2022-06-30,0,37172.73,18.36,10906.06,10.918,36,<1y,7.93,west,A
ln_01dc6054f16a,2022-10-31,0,35551.59,28.38,9388.56,15.44,36,10y+,12.65,east,A
ln_bf7be128c7d4,2022-02-28,0,83085.54,4.43,7464.21,6.002,36,1-3y,12.77,west,A
ln_f3bc82209733,2022-09-30,0,55889.08,12.96,15631.38,10.417,36,1-3y,14.75,west,A
ln_4dc776a81b9a,2023-01-31,0,69066.47,16.85,9074.72,9.984,36,1-3y,7.06,north,A
ln_4e90553f9801,2023-12-31,0,59401.89,27.2,12330.85,16.352,36,1-3y,12.57,west,A
ln_8d26d2f8b050,2023-02-28,0,42614.66,31.86,14588.31,18.758,36,1-3y,12.17,north,B
ln_b6b3be77081f,2022-05-31,0,107847.07,9.48,17073.64,8.837,36,1-3y,12.04,south,B
ln_959b91529855,2022-08-31,0,54446.07,23.68,25249.4,10.53,36,<1y,15.19,north,B
ln_877b597a0124,2023-07-31,0,79287.06,21.33,5741.49,12.404,60,5-10y,15.42,west,B
ln_083bc8089ae2,2022-03-31,0,42049.48,21.31,10436.63,10.472,36,5-10y,18.01,north,A
ln_cb51c275c760,2022-02-28,0,30846.71,15.16,23859.12,11.993,36,10y+,12.46,north,A
ln_569c0a2338d8,2023-07-31,0,138416.73,17.47,13357.46,11.213,36,1-3y,17.61,north,A
ln_0ebb0a61cd52,2022-09-30,0,35613.83,17.01,8176.4,17.735,60,<1y,9.1,east,A
ln_9daf2fae4376,2022-05-31,0,59632.72,18.36,7313.03,12.516,36,5-10y,7.03,west,B
ln_bc86cf44dfac,2022-02-28,0,99536.46,31.14,9298.44,15.268,36,10y+,17.67,north,B
ln_c2eeed7607b6,2023-05-31,0,49214.54,39.76,9211.94,18.682,36,<1y,6.07,east,A
ln_f06aa4697786,2022-05-31,0,43656.37,24.97,7775.79,17.516,36,<1y,12.55,west,A
ln_d907aa9543e2,2022-01-31,0,57294.28,24.2,6789.23,16.162,60,3-5y,14.73,east,B
ln_8ed08f04b190,2023-10-31,0,246416.11,2.79,23372.63,4.463,36,5-10y,12.03,south,A
ln_0154f8667231,2023-11-30,0,64117.53,26.51,32158.3,13.59,36,10y+,15.56,north,A
ln_c29bd26c2a8f,2022-06-30,1,73398.09,36.48,46740.63,16.649,36,1-3y,4.85,east,B
ln_f0c8aac3b9c7,2023-10-31,1,61511.14,21.43,14291.99,14.391,60,5-10y,14.12,south,A
ln_ab65f313809b,2023-03-31,0,74374.93,23.06,33710.93,10.722,60,1-3y,14.44,north,A
ln_d5c7471a95ca,2022-02-28,0,55071.61,12.06,10864.9,6.386,36,3-5y,16.63,west,A
ln_b2000178bcae,2022-10-31,0,108297.7,16.07,33692.97,9.786,60,1-3y,12.43,east,B
ln_e347d060b809,2023-03-31,0,32766.59,16.64,9508.29,9.435,36,1-3y,20.34,south,A
ln_973f6e916f2e,2022-04-30,0,142856.2,18.23,29235.01,11.743,60,1-3y,7.65,north,A
ln_7a01bcc81891,2023-03-31,0,66167.24,4.66,12701.85,7.728,36,<1y,11.25,north,A
ln_6d0ba1c169d3,2022-02-28,0,41535.49,18.41,3891.05,11.28,60,10y+,16.53,south,A
ln_6eb416ef6ecc,2022-11-30,0,54041.29,14.67,4454.76,8.575,36,3-5y,8.28,west,A
ln_01e57c19fff4,2022-12-31,0,60634.98,22.53,7023.63,12.87,36,1-3y,20.13,south,B
ln_2b22c9cf14f7,2022-01-31,1,36951.01,34.74,24407.33,18.876,60,3-5y,9.18,west,A
ln_22ca943ccd4f,2023-12-31,0,109744.23,18.97,29260.88,11.079,36,10y+,10.59,east,A
ln_38680fbdbd19,2023-01-31,0,54566.01,13.21,20311.04,12.83,60,5-10y,7.63,south,B
ln_6674c66967f1,2023-12-31,0,47139.27,13.38,9727.61,8.882,60,10y+,17.75,east,B
ln_106bda71511a,2023-10-31,0,70477.36,13.6,10760.96,12.187,36,5-10y,10.73,east,B
ln_734e694525b2,2023-08-31,0,47896.33,21.55,18805.31,9.871,60,10y+,16.07,west,B
ln_361d81bca61c,2023-06-30,0,30176.64,31.13,3701.06,19.523,60,<1y,10.1,west,A
ln_f7cce8c10d7a,2023-08-31,0,114636.15,17.4,11119.05,9.951,36,10y+,13.6,west,A
ln_29f90ffdd3cd,2022-07-31,0,77977.28,22.59,1989.94,13.047,36,1-3y,12.44,south,A
ln_c0969fa54255,2022-02-28,0,113965.84,11.55,25594.57,7.611,36,1-3y,22.99,north,A
ln_b873b68a8a67,2023-03-31,0,38961.22,25.75,4261.27,10.706,36,3-5y,6.48,west,A
ln_a617d6a108c2,2022-11-30,0,63894.47,16.2,23263.38,14.948,36,3-5y,14.27,south,A
ln_0bb1fbd06b4e,2022-03-31,0,77121.26,12.03,25418.57,9.325,36,10y+,19.33,north,A
ln_8908dcd96462,2023-11-30,0,58566.3,22.37,15611.18,11.599,36,3-5y,10.56,east,A
ln_727f25dfd716,2023-08-31,1,27047.31,18.52,9602.55,12.186,60,10y+,13.51,north,A
ln_d54b5e774302,2023-07-31,0,89086.19,19.41,34829.12,11.113,36,5-10y,8.11,east,A
ln_48f833cb2852,2022-04-30,0,88521.8,8.29,11508.75,10.429,36,1-3y,13.14,west,B
ln_fb6af1daffb3,2022-05-31,0,88134.3,25.7,3366.38,13.122,36,10y+,10.09,south,A
ln_08b6f23d087f,2022-03-31,0,36986.75,23.76,6075.54,12.684,60,10y+,14.96,east,B
ln_e6e459ee891a,2022-06-30,0,25826.21,14.17,29494.1,7.294,60,5-10y,9.36,south,A
ln_4f2ad8f6f2eb,2022-01-31,1,29694.09,50.21,26131.71,24.959,36,3-5y,13.59,east,A
ln_28550160ada7,2023-07-31,0,64756.52,12.04,17401.44,9.491,36,3-5y,5.62,east,B
ln_fda3775e3254,2023-05-31,0,43281.6,26.1,13280.75,11.961,36,1-3y,6.09,south,A
ln_696acdd66419,2023-01-31,0,98612.93,26.79,6806.99,9.103,36,3-5y,12.29,east,A
ln_7249d18eb9b7,2023-04-30,0,43492.16,13.4,9722.03,11.012,60,<1y,7.84,east,B
ln_3d9b67c00001,2023-03-31,0,57782.95,5.06,5822.76,8.149,60,1-3y,11.71,south,B
ln_f5cb1c0b9aa6,2022-10-31,1,35331.1,40.83,26306.29,14.77,36,3-5y,22.34,north,A
ln_018dbc385cdb,2022-03-31,0,194714.75,13.75,12271.66,10.9,36,3-5y,10.16,north,B
ln_3a3eccd795f2,2023-10-31,0,31546.91,28.57,6262.56,16.716,36,5-10y,11.61,west,A
ln_f76287e302e7,2022-06-30,1,35488.41,26.61,14022.05,13.17,36,1-3y,11.53,east,B
ln_01a84727358a,2022-08-31,0,50579.88,5.41,16489.9,5.471,36,3-5y,12.02,west,B
ln_19347aa28199,2023-09-30,0,70824.21,19.17,18908.58,10.47,36,5-10y,13.19,south,A
ln_ccf5f4de4214,2023-12-31,0,107458.81,13.19,13248.79,14.703,36,10y+,11.81,south,A
ln_3323f8a39858,2022-06-30,0,40051.28,28.52,11492.38,15.449,60,10y+,19.27,south,A
ln_74f1916b7768,2022-09-30,0,100926.69,13.78,10186.6,8.635,60,3-5y,12.26,south,A
ln_4563c869b776,2023-10-31,0,91016.67,22.81,32249.17,8.528,36,1-3y,16.55,east,A
ln_a361a14446da,2023-11-30,0,83739.48,2.19,17344.99,6.117,36,1-3y,9.14,west,A
ln_acdb73060b2d,2023-05-31,0,33272.87,3.86,13522.47,3.5,36,10y+,15.38,south,A
ln_396fc0a9e7d1,2023-09-30,0,107334.61,22.91,6548.62,10.429,36,3-5y,11.33,west,A
ln_cd25e70560a9,2022-09-30,0,51047.04,23.35,4623.55,17.201,36,3-5y,10.37,north,A
ln_1607fbee8181,2022-04-30,0,99157.27,19.72,26977.09,11.9,60,1-3y,5.16,west,B
ln_84ba52865e91,2023-12-31,0,96708.33,29.93,5847.95,15.077,60,3-5y,8.05,north,B
ln_cbd70595800e,2023-10-31,0,104119.17,11.23,40281.9,8.976,60,10y+,17.01,south,A
ln_b72958739a90,2023-09-30,0,22464.25,23.4,26911.71,14.872,60,3-5y,6.85,north,B
ln_456887cc5437,2022-08-31,0,43929.76,14.82,8662.92,10.287,36,1-3y,13.99,north,B
ln_26203b17aca9,2022-08-31,0,70012.79,19.82,28946.28,13.512,36,10y+,8.5,west,B
ln_330083af12ce,2022-08-31,0,98792.65,25.54,10622.17,17.058,60,3-5y,18.48,north,A
ln_b24a6bdd6bf3,2022-10-31,1,35049.85,27.87,13279.49,14.083,36,5-10y,13.24,east,A
ln_291dbef2ba6e,2022-07-31,0,71661.46,12.71,19948.84,10.396,36,3-5y,22.72,north,B
ln_29ae6eaff71c,2022-03-31,0,22349.1,29.87,10699.36,15.067,36,5-10y,14.78,north,B
ln_50cb62866fe0,2022-07-31,0,75401.74,19.22,6549.24,9.466,60,10y+,21.27,south,A
ln_34837515b45e,2022-07-31,0,108126.13,19.66,10711.99,13.33,60,5-10y,11.6,east,A
ln_ee272abcc427,2022-09-30,0,82245.25,23.36,12231.13,15.269,36,3-5y,12.22,east,A
ln_b9359de3fb67,2023-08-31,0,59304.94,27.85,9474.31,14.971,36,1-3y,8.0,south,B
ln_a49056135eb3,2023-02-28,0,145400.26,22.37,42227.89,14.625,60,1-3y,7.54,west,B
ln_ece2b5546cec,2022-04-30,0,48346.42,22.7,54309.1,10.95,36,10y+,16.37,east,A
ln_fd05ed9f3a26,2022-04-30,0,81579.63,26.61,37740.92,11.231,36,3-5y,14.26,west,A
ln_9a69b3a2fe4f,2022-09-30,0,67096.11,22.46,4392.29,8.919,36,10y+,17.7,north,A
ln_f72b90162aa1,2022-06-30,0,53090.17,37.44,24199.37,18.307,60,1-3y,9.94,north,A
ln_ba0895a8c507,2022-04-30,0,105267.32,19.69,7923.16,10.551,36,3-5y,14.2,south,B
ln_f8a4bda804e2,2023-07-31,0,102353.72,21.11,9190.68,13.288,36,1-3y,11.62,north,A
ln_65aa0f453774,2023-10-31,0,50299.11,9.44,7742.42,5.441,36,3-5y,14.98,north,B
ln_095c81f4e5c5,2022-03-31,0,41978.54,15.14,19516.64,8.194,60,10y+,21.54,west,A
ln_5e9c5ecdf5a9,2023-02-28,0,111226.38,16.55,4867.91,10.936,36,3-5y,10.76,south,A
ln_25b78e760a8c,2023-08-31,0,38363.23,22.36,23910.81,13.283,60,10y+,14.05,south,A
ln_1d184cf7261a,2022-12-31,1,52980.47,24.12,45472.1,12.939,36,3-5y,9.69,north,A
ln_e815d9e42a5f,2022-09-30,0,34136.16,28.12,29630.93,14.915,36,10y+,15.32,south,A
ln_ade35c99751d,2022-03-31,0,77438.39,32.62,32920.8,15.643,36,<1y,6.86,south,B
ln_ef2ac1a8cb32,2022-09-30,0,106683.12,24.55,21448.79,15.45,36,1-3y,8.94,west,A
ln_8254941522e4,2023-05-31,0,48726.14,23.04,20577.87,17.082,36,1-3y,11.9,east,A
ln_a7944fbc9adf,2023-11-30,0,66443.5,24.74,16398.44,14.607,60,3-5y,14.48,north,B
ln_bad9d24668ca,2023-12-31,0,230390.78,14.22,13728.89,10.169,36,1-3y,9.04,east,B
ln_c63ca3e2443e,2023-12-31,0,50094.4,34.53,14615.68,17.487,36,10y+,9.37,south,A
ln_b0bdad703225,2022-09-30,0,67863.31,11.15,18099.18,8.137,36,10y+,15.09,west,A
ln_f3b30483a693,2022-12-31,0,143729.02,5.56,11928.01,9.511,60,<1y,14.04,north,B
ln_8085cf84320c,2023-04-30,0,71909.65,27.0,17708.2,15.746,36,3-5y,9.85,north,B
ln_cdbffa643f6b,2022-02-28,0,110864.98,11.01,5516.33,8.816,36,1-3y,10.59,north,A
ln_6b7f6e00a364,2023-08-31,0,49520.11,29.51,6512.97,11.371,60,5-10y,19.23,south,A
ln_64c9f48248eb,2022-08-31,1,68204.36,24.66,16236.46,17.353,36,1-3y,14.24,south,B
ln_f9e9bb4bcfb4,2022-10-31,0,40883.88,33.93,30532.64,15.879,60,5-10y,19.27,west,A
ln_9b16a008cef7,2022-04-30,0,37601.33,30.36,11588.0,14.612,36,1-3y,8.31,east,A
ln_9a67ede13f6a,2023-11-30,0,49862.85,15.08,10103.84,9.846,60,1-3y,15.26,south,A
ln_39e37658fd48,2022-07-31,0,43977.76,33.79,12607.45,12.104,60,3-5y,15.65,east,A
ln_996283121ae4,2023-04-30,0,59654.24,15.63,21139.7,8.741,36,10y+,15.43,west,A
ln_ea2ba83eda95,2022-10-31,0,76607.71,12.94,14739.31,9.0,36,1-3y,17.8,south,A
ln_719bc9544bbe,2022-07-31,1,35391.75,21.91,7963.96,13.173,60,5-10y,13.0,west,A
ln_6362d136c980,2023-08-31,1,51371.63,31.79,10241.57,11.327,36,1-3y,8.92,east,B
ln_b9e1666fc151,2023-01-31,0,67491.64,11.83,13516.54,12.097,36,1-3y,11.32,east,B
ln_b71184a664e5,2023-11-30,0,59200.09,17.46,31752.36,11.442,60,3-5y,17.38,south,A
ln_4b797fcf6b7b,2023-11-30,0,52768.67,23.55,18970.8,14.581,36,5-10y,7.52,east,B
ln_7c587bcc3099,2022-03-31,1,69931.04,26.4,12710.57,13.071,36,1-3y,11.72,east,A
